qryid;collection;ranker;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
68;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;47140;47120;10920;0;0;0;48309
250;gov2;tfidf;IDX_DR_TFIDF;0;100;6;100;345716;345652;58896;0;0;0;346344
503;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;41804;40580;8976;0;0;0;42278
561;gov2;tfidf;IDX_DR_TFIDF;0;100;8;100;666899;666852;100684;0;0;0;667946
683;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;176150;172957;33406;0;0;0;176773
918;gov2;tfidf;IDX_DR_TFIDF;0;100;7;100;192949;191838;30530;0;0;0;193553
1153;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;122942;122577;25692;0;0;0;123540
1178;gov2;tfidf;IDX_DR_TFIDF;0;100;6;100;60900;60107;10917;0;0;0;61405
1206;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;78362;78332;18316;0;0;0;78957
1394;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;61202;60877;13987;0;0;0;61780
1465;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;33696;33408;8267;0;0;0;34199
1734;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;46459;46436;10097;0;0;0;46961
1847;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;88056;88030;20048;0;0;0;88627
1984;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;1829;1410;542;0;0;0;1931
2007;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;84807;84787;17558;0;0;0;85383
2127;gov2;tfidf;IDX_DR_TFIDF;0;100;9;100;643711;643278;91892;0;0;0;645284
2176;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;108679;106307;22604;0;0;0;109278
2198;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;39130;38500;8642;0;0;0;39685
2203;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;82666;82634;25312;0;0;0;83256
2244;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;43890;43559;9710;0;0;0;44374
2388;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;12160;12136;3717;0;0;0;12346
2440;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;46547;46531;13040;0;0;0;47043
2653;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;71556;71458;15069;0;0;0;72131
2875;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;47695;47322;10172;0;0;0;48260
2896;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;52682;52651;13316;0;0;0;53253
3219;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;40554;40480;8993;0;0;0;41029
3414;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;121472;121448;27435;0;0;0;122072
3605;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;101086;100280;20768;0;0;0;101697
3622;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;188418;187858;38809;0;0;0;189060
3768;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;55900;54316;12691;0;0;0;56479
3910;gov2;tfidf;IDX_DR_TFIDF;0;100;6;100;288713;288581;49898;0;0;0;289481
3931;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;182501;181551;38803;0;0;0;183087
4257;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;11850;10716;2876;0;0;0;12000
4314;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;33226;33209;7674;0;0;0;33726
4411;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;88378;88328;18911;0;0;0;88968
4415;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;44783;44411;9047;0;0;0;45340
4448;gov2;tfidf;IDX_DR_TFIDF;0;100;6;100;244586;244517;42952;0;0;0;245160
4523;gov2;tfidf;IDX_DR_TFIDF;0;100;9;100;648644;647834;89446;0;0;0;650109
4572;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;90962;89096;17577;0;0;0;91565
4708;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;9791;9544;2268;0;0;0;9955
4712;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;10816;10803;3133;0;0;0;10949
4720;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;38643;38627;11043;0;0;0;39101
4727;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;169377;169350;34030;0;0;0;169978
4740;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;20316;19503;5056;0;0;0;20574
4875;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;10543;10529;3267;0;0;0;10686
4956;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;23956;23940;5948;0;0;0;24307
4983;gov2;tfidf;IDX_DR_TFIDF;0;100;9;100;239607;239576;35040;0;0;0;240207
5013;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;52821;52409;14819;0;0;0;53394
5017;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;80817;80678;16302;0;0;0;81400
5138;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;6651;6466;1945;0;0;0;6763
5258;gov2;tfidf;IDX_DR_TFIDF;0;100;6;100;314753;314700;56676;0;0;0;315363
5884;gov2;tfidf;IDX_DR_TFIDF;0;100;6;100;151773;150564;26858;0;0;0;152359
5927;gov2;tfidf;IDX_DR_TFIDF;0;100;16;100;1274480;1274119;138022;0;0;0;1276321
5941;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;25761;24002;6178;0;0;0;26074
5971;gov2;tfidf;IDX_DR_TFIDF;0;100;12;100;1890483;1890437;229237;0;0;0;1892035
6062;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;83517;73077;16540;0;0;0;86447
6161;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;16083;15165;3354;0;0;0;16314
6480;gov2;tfidf;IDX_DR_TFIDF;0;100;2;100;9285;9272;2652;0;0;0;9405
6785;gov2;tfidf;IDX_DR_TFIDF;0;100;3;100;20957;20941;5247;0;0;0;21207
6811;gov2;tfidf;IDX_DR_TFIDF;0;100;5;100;125953;125930;24542;0;0;0;126548
7005;gov2;tfidf;IDX_DR_TFIDF;0;100;4;100;141684;141331;29751;0;0;0;142297
